brand,model_family_clean,model_firstreg_total_2014_2026,model_firstreg_year_span,model_firstreg_peak_year,model_firstreg_peak_count,model_firstreg_recent_share,model_firstreg_old_share,model_firstreg_weighted_year
kia,carens,907,5.0,2014.0,234,0.0,0.9570011025358324,2015.8081587651598
kia,ceed,20369,11.0,2019.0,1984,0.3988904708134911,0.41921547449555696,2019.3569640139428
kia,ev3,1127,1.0,2025.0,1045,1.0,0.0,2024.9272404614019
kia,ev4,60,0.0,2025.0,60,1.0,0.0,2025.0
kia,ev6,1946,4.0,2023.0,656,1.0,0.0,2023.204008221994
kia,ev9,366,2.0,2024.0,219,1.0,0.0,2024.2486338797814
kia,niro,8073,9.0,2019.0,1087,0.5131921218877741,0.23807754242536852,2020.6256657995789
kia,optima,2198,7.0,2017.0,508,0.01683348498635123,0.7138307552320291,2017.5063694267517
kia,picanto,4319,11.0,2018.0,514,0.36582542255151657,0.4531141467932392,2019.1648529752258
kia,proceed,1645,6.0,2019.0,405,0.5829787234042553,0.0,2021.154407294833
kia,pv5,1,0.0,2025.0,1,1.0,0.0,2025.0
kia,rio,16996,11.0,2016.0,2421,0.22652388797364087,0.6057307601788656,2017.7925982584138
kia,sorento,2307,11.0,2021.0,376,0.44299956653662764,0.45600346770697875,2019.2002600780233
kia,soul,632,11.0,2015.0,130,0.11708860759493671,0.8291139240506329,2016.884493670886
kia,sportage,7250,11.0,2016.0,954,0.3684137931034483,0.5135172413793103,2018.8252413793105
kia,stinger,110,5.0,2018.0,44,0.1,0.45454545454545453,2018.8545454545454
kia,stonic,7221,8.0,2021.0,1359,0.6317684531228361,0.09929372663066058,2021.3924664173937
kia,venga,1604,5.0,2016.0,395,0.0,0.9943890274314214,2015.7344139650872
kia,xceed,2102,6.0,2022.0,545,0.8767840152235966,0.0,2022.4438629876308
lada,2192,3,1.0,2017.0,2,0.0,1.0,2017.3333333333333
lada,2194,2,0.0,2017.0,2,0.0,1.0,2017.0
lada,4x4,8,3.0,2018.0,4,0.0,0.75,2018.125
lada,granta,11,2.0,2017.0,7,0.0,1.0,2017.1818181818182
lada,vesta,2,1.0,2018.0,1,0.0,0.5,2018.5
lamborghini,huracan,4,4.0,2017.0,1,0.25,0.5,2019.0
lamborghini,urus,26,6.0,2025.0,18,0.8846153846153846,0.0,2023.8461538461538
lancia,voyager,1,0.0,2014.0,1,0.0,1.0,2014.0
land rover,defender,412,5.0,2022.0,121,0.9611650485436893,0.0,2022.759708737864
