brand,brand_total_registered,brand_median_vehicle_age,brand_mean_vehicle_age,brand_median_mileage,brand_mean_mileage,brand_median_engine_cc,brand_median_power_kw,brand_median_mass_kg,brand_share_of_market,brand_share_over_10y,brand_share_over_200k_km,brand_automatic_share,brand_petrol_share,brand_diesel_share,brand_ev_share,brand_hybrid_share,brand_turbo_share
ford-karmann,5,33.0,23.0,57907.0,54647.4,2490.0,72.0,2320.0,1.9492706219186904e-06,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.6
austin-cooper,5,20.0,34.2,25059.0,30633.2,997.0,40.0,640.0,1.9492706219186904e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
renault-adria mobil,5,16.0,15.8,86506.0,116266.6,2460.0,107.0,3147.0,1.9492706219186904e-06,1.0,0.2,0.4,0.0,1.0,0.0,0.0,1.0
fiat-rimor,5,14.0,19.8,154477.0,179561.2,2287.0,95.0,2795.0,1.9492706219186904e-06,1.0,0.4,0.0,0.0,1.0,0.0,0.0,0.6
fisker,5,13.0,8.2,54048.0,69509.2,1998.0,156.0,2505.0,1.9492706219186904e-06,0.6,0.0,0.4,0.4,0.0,0.4,0.4,0.2
roller team,5,4.0,4.8,104800.0,84172.8,1995.0,121.3,2935.0,1.9492706219186904e-06,0.0,0.0,0.4,0.0,1.0,0.0,0.0,1.0
mobilvetta,5,5.0,8.2,33722.0,63647.6,2287.0,110.0,3156.0,1.9492706219186904e-06,0.2,0.0,0.8,0.0,1.0,0.0,0.0,1.0
peugeot-pilote,5,35.0,35.6,172354.0,202516.0,1970.0,63.5,2510.0,1.9492706219186904e-06,1.0,0.4,0.0,0.6,0.4,0.0,0.0,0.4
valiant,5,,,68929.0,66720.8,3245.0,82.0,1240.0,1.9492706219186904e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiat-miller,5,19.0,19.2,163423.0,166002.2,2287.0,94.0,2667.0,1.9492706219186904e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
vedette,5,43.5,43.5,18636.0,35162.6,2350.0,61.5,1250.0,1.9492706219186904e-06,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ford-eura-mobil,5,17.0,17.6,130002.0,120905.8,2198.0,96.0,2940.0,1.9492706219186904e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
alpine,5,1.0,10.8,6094.0,7007.333333333333,1798.0,185.0,1177.0,1.9492706219186904e-06,0.2,0.0,0.8,1.0,0.0,0.0,0.0,0.4
ford-chausson,5,21.0,20.6,141012.0,160871.4,2400.0,92.0,3100.0,1.9492706219186904e-06,1.0,0.2,0.0,0.0,1.0,0.0,0.0,1.0
bertone,5,36.0,37.4,51224.0,60594.6,1490.0,62.5,950.0,1.9492706219186904e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
checker,4,22.0,27.5,37417.5,30768.25,4561.0,59.0,1800.0,1.5594164975349524e-06,0.75,0.0,0.25,1.0,0.0,0.0,0.0,0.0
fiat-itineo,4,16.0,15.0,113997.0,113248.75,2287.0,96.0,3017.5,1.5594164975349524e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hupmobile,4,15.0,14.5,54999.5,54999.5,3748.0,43.35,1570.0,1.5594164975349524e-06,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dodge-eura-mobil,4,33.0,33.25,146537.0,158677.5,5880.0,118.0,3570.0,1.5594164975349524e-06,1.0,0.25,0.5,0.0,1.0,0.0,0.0,1.0
ford-bürstner,4,17.0,17.0,139216.5,145635.25,2198.0,96.0,2957.5,1.5594164975349524e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
krismar,4,3.5,2.75,18870.5,22165.75,7698.0,320.0,,1.5594164975349524e-06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
karmann-mobil,4,16.0,16.0,232048.0,209657.25,2287.0,88.0,2847.0,1.5594164975349524e-06,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.75
benimar,4,4.5,6.5,27799.0,33327.25,2096.5,110.5,3001.0,1.5594164975349524e-06,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0
dangel,4,3.5,3.5,87680.0,109861.75,1997.0,106.0,2218.0,1.5594164975349524e-06,0.0,0.25,0.0,0.0,1.0,0.0,0.0,1.0
singer,4,34.5,34.25,33700.0,34962.5,1186.0,31.0,815.0,1.5594164975349524e-06,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0
polski-fiat,4,42.5,40.0,54129.5,58495.25,971.0,51.5,795.0,1.5594164975349524e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mercedes-benz-carthago,4,17.0,17.0,133010.0,122001.25,2987.0,135.0,3360.0,1.5594164975349524e-06,1.0,0.0,0.75,0.0,1.0,0.0,0.0,1.0
pierce-arrow,4,27.0,23.33333333333333,66016.5,66016.5,5928.0,71.5,2000.0,1.5594164975349524e-06,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0
daimler-benz,4,40.0,43.5,177793.5,184438.75,2235.0,100.0,1510.0,1.5594164975349524e-06,1.0,0.5,0.25,0.75,0.25,0.0,0.0,0.0
laika caravans s.p.a.,4,3.0,5.25,19760.0,38517.0,2287.0,109.25,2917.5,1.5594164975349524e-06,0.25,0.0,0.25,0.0,1.0,0.0,0.0,1.0
goliath,4,37.0,35.5,22710.0,30905.75,1091.5,34.0,930.0,1.5594164975349524e-06,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
riley,4,24.5,32.5,42964.5,42964.5,1493.0,43.5,1120.0,1.5594164975349524e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiat-swift,4,25.0,25.75,234263.0,256707.0,2800.0,64.0,2550.0,1.5594164975349524e-06,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0
