part_name,brand,model,row_count,product_id_count,product_id_sample,median_price,min_price,max_price,rows_per_product_id
gear box 5 speed -,skoda,octavia,30,5,"53376928, 53853245, 58491195, 59381610, 60974455",947.2,943.5,1071.0,6.0
"gear box 6 speed - , e-",vw,golf,30,5,"53463140, 53593831, 53997371, 54025922, 62191263",2138.6,2122.9,2380.0,6.0
"gear box cushion - , e-",vw,golf,30,5,"54004519, 54037003, 54048694, 54053254, 54101065",47.349999999999994,47.2,47.6,6.0
"gear regulator - , e-",vw,golf,30,5,"53679703, 53820701, 54354638, 54382680, 55743091",71.0,60.1,72.6,6.0
"injection control unit - , e-",vw,golf,30,5,"53458214, 53472320, 53500718, 56744090, 59734341",449.65,448.2,452.2,6.0
knee -,skoda,octavia,30,5,"54289853, 55500795, 56974731, 59692310, 59856778",242.85,241.8,243.9,6.0
"knee - , e-",vw,golf,30,5,"56985881, 58796753, 60960501, 60981203, 64306530",201.15,176.9,220.1,6.0
"komfort styrdon - , e-",vw,golf,30,5,"53998268, 54416798, 54430192, 59552982, 60920918",177.4,166.9,178.5,6.0
load air pressure transmitters -,skoda,octavia,30,5,"54040578, 54041499, 54439081, 54443290, 54443606",37.75,35.4,38.1,6.0
"load air pressure transmitters - , e-",vw,golf,30,5,"54008546, 54049047, 54074856, 55972734, 56502632",41.4,41.3,41.6,6.0
mass air-flow sensor -,skoda,octavia,30,5,"53520184, 54428098, 54443614, 61734037, 63141783",85.4,82.6,95.2,6.0
"mass air-flow sensor - , e-",vw,golf,30,5,"53938447, 54337899, 54380915, 56228413, 60226848",82.6,77.8,83.3,6.0
motor cushion -,skoda,octavia,30,5,"53649460, 54108276, 54154575, 54273215, 54478278",47.4,42.5,59.5,6.0
"motor cushion - , e-",vw,golf,30,5,"53608557, 53835906, 54055052, 54071481, 54166559",59.150000000000006,59.0,59.5,6.0
other relay -,skoda,octavia,30,5,"54039164, 54039165, 54508620, 54508624, 63589615",23.6,17.7,25.0,6.0
"other relay - , e-",vw,golf,30,5,"54059287, 54068339, 54500484, 54500496, 65219914",23.6,14.2,23.8,6.0
"other transmitters - , e-",vw,golf,30,5,"54427789, 57273990, 57273998, 57274077, 57275076",35.5,31.8,35.7,6.0
"parking control unit - , e-",vw,golf,30,5,"54095103, 54427546, 54430249, 63387889, 66444857",84.9,59.0,85.7,6.0
"piston / rod - , e-",vw,golf,30,5,"54100052, 54124986, 54124988, 54125831, 54142915",23.7,23.6,35.7,6.0
pulley -,skoda,octavia,30,5,"54101072, 54241876, 54270425, 54271847, 55708357",59.150000000000006,59.0,59.5,6.0
"rear gear / diff. - , e-",vw,golf,30,5,"53365106, 53403606, 53815272, 62058588, 62527580",831.65,825.6,910.3,6.0
rubber bellow / tube -,skoda,octavia,30,5,"53985513, 54410388, 54479475, 55973026, 65869007",35.650000000000006,35.4,41.6,6.0
rubber bellow / tube -,toyota,corolla,30,5,"54327539, 54443287, 62465248, 63006838, 65106415",29.75,29.5,35.7,6.0
"sensor abs - , e-",vw,golf,30,5,"53894770, 53919106, 53919107, 53930516, 54345760",59.0,47.2,60.7,6.0
sensor ac inner temperature -,skoda,octavia,30,5,"54434486, 54434487, 54434613, 65877447, 65877448",19.0,18.9,23.8,6.0
sensor steering -,skoda,octavia,30,5,"53583320, 53588042, 53596792, 54531569, 54684184",47.4,47.2,59.5,6.0
"sensor steering - , e-",vw,golf,30,5,"54049705, 54049714, 56857329, 58050859, 58348027",35.5,35.4,35.7,6.0
starter diesel -,skoda,octavia,30,5,"53401025, 53490851, 53494115, 59769350, 59769471",130.14999999999998,129.7,130.9,6.0
"starter diesel - , e-",vw,golf,30,5,"53373961, 53413355, 53471669, 53940167, 60221227",118.4,117.9,130.9,6.0
strut bearing rear -(rear),toyota,corolla,30,5,"54469818, 54472631, 54473017, 54478903, 54480215",23.7,23.6,23.8,6.0
tank transmitters -,skoda,octavia,30,5,"54343917, 54348909, 54373456, 54375958, 54381558",47.2,41.3,47.6,6.0
"tank transmitters - , e-",vw,golf,30,5,"53460454, 53680645, 54250000, 54250208, 54311846",47.349999999999994,41.3,59.5,6.0
"thermostat housing / cap - , e-",vw,golf,30,5,"54347769, 54375865, 54420181, 54546417, 54652849",35.650000000000006,35.4,47.6,6.0
throttle housing -,skoda,octavia,30,5,"53989118, 54045264, 54071165, 54386802, 55966413",142.1,141.5,145.2,6.0
"throttle housing - , e-",vw,golf,30,5,"55732520, 55972729, 56502635, 61796395, 64814195",185.45,176.9,202.3,6.0
turbo aggregate -,skoda,octavia,30,5,"54582425, 55170665, 62701480, 65114104, 65126978",390.5,353.8,416.5,6.0
"turbo aggregate - , e-",vw,golf,30,5,"54069568, 54483157, 61787665, 62564689, 65869207",366.8,336.1,440.3,6.0
valve cap -,skoda,octavia,30,5,"54205365, 54238202, 54297434, 54307932, 63300312",55.05,47.2,60.7,6.0
"valve cap - , e-",vw,golf,30,5,"53601348, 54089299, 54272491, 54338772, 54393293",47.5,47.2,53.5,6.0
abs hydraulic pump -,skoda,octavia,29,5,"54040619, 54040892, 54041498, 54047336, 54069056",474.2,471.8,476.0,5.8
"alternator bracket / accessories - , e-",vw,golf,29,5,"53699195, 54151506, 54339592, 54545748, 54576135",47.3,35.4,47.6,5.8
"avgas temperaturgivare - , e-",vw,golf,29,5,"54393455, 54399636, 54430147, 54430148, 64842504",53.1,47.2,59.5,5.8
"battery box / fixing / holder - , e-",vw,golf,29,5,"53436195, 53437268, 53438834, 54410773, 64647714",35.5,35.4,35.7,5.8
belt tensioner for fan belt -,skoda,octavia,29,5,"53418422, 53792769, 54121096, 54164158, 54174603",23.7,11.8,23.8,5.8
"brake caliper - , e-(right rear)",vw,golf,29,5,"54221227, 54332512, 56566931, 63233982, 63445334",183.9,180.4,214.2,5.8
diesel injection pump -,skoda,octavia,29,5,"54360852, 54564439, 54580231, 56910148, 60841392",236.0,176.9,267.8,5.8
"fuel tank lid - , e-",vw,golf,29,5,"54055840, 54341902, 54360755, 54373904, 54411874",17.7,17.7,17.8,5.8
gear box 6 speed -,skoda,octavia,29,5,"53490848, 53593156, 54241390, 54481797, 55801303",2359.6,2288.0,2380.0,5.8
"gear box bracket - , e-",vw,golf,29,5,"53826568, 54044473, 54427542, 55057785, 58900682",47.4,47.2,53.5,5.8
injection control unit -,skoda,octavia,29,5,"53417014, 53445888, 54042626, 54069029, 54672182",474.2,471.8,476.0,5.8
insp.pump diesel control unit -,skoda,octavia,29,5,"53420634, 53840962, 53858012, 54487372, 56915273",355.2,353.8,357.0,5.8
"main cylinder - , e-",vw,golf,29,5,"53825961, 53833931, 64789477, 64823034, 65116987",82.6,71.9,83.3,5.8
motor bracket -,skoda,octavia,29,5,"54068941, 54418779, 54418782, 54434254, 54447415",59.1,59.0,59.5,5.8
"parkeringshjälp frontsensor - , e-",vw,golf,29,5,"53458852, 53467208, 53469091, 53486158, 53491539",59.1,59.0,59.5,5.8
parking control unit -,skoda,octavia,29,5,"54049082, 59564435, 60048848, 60207964, 60519221",95.2,94.4,101.1,5.8
passenger airbag -,skoda,octavia,29,5,"54280175, 54292142, 56974726, 57597013, 59309175",485.4,483.6,487.9,5.8
piston / rod -,skoda,octavia,29,5,"54116551, 54148694, 54148695, 54148696, 62007019",41.4,35.4,59.5,5.8
rear axle -,skoda,octavia,29,5,"53367213, 54669113, 62657264, 62896866, 66432442",378.4,353.8,416.5,5.8
"rear axle - , e-",vw,golf,29,5,"53393680, 53894970, 53894983, 53905737, 66459895",355.9,353.8,416.5,5.8
"signal horn - , e-",vw,golf,29,5,"53995131, 54014373, 54027459, 54057005, 61114117",29.6,29.5,29.8,5.8
starter gasoline -,skoda,octavia,29,5,"54214835, 54239478, 56394913, 59572701, 60507006",130.1,123.8,142.8,5.8
"starter gasoline - , e-",vw,golf,29,5,"59815058, 59815065, 60162113, 64251613, 65116552",142.3,141.5,148.8,5.8
sump -,toyota,corolla,29,5,"53468309, 54229732, 54560355, 56109850, 59185397",47.2,23.6,59.5,5.8
tank lid -,skoda,octavia,29,5,"53489119, 53847562, 53900720, 59705489, 66544168",47.4,47.2,56.5,5.8
airbag control unit -,skoda,octavia,28,5,"53430480, 53998555, 57336307, 58994403, 60048809",295.85,294.9,297.5,5.6
"fuel tank injection - , e-",vw,golf,28,5,"54027084, 54322755, 54323239, 54324453, 54341230",88.6,71.9,121.4,5.6
"gear lever - , e-",vw,golf,28,5,"53940105, 54068070, 55904254, 60225593, 62029274",177.6,176.9,178.5,5.6
