model_type,feature_variant,config_name,target_mode,feature_count,best_iteration,validation_MAE,validation_RMSE,validation_R2
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_010,raw,65,414,25.20576826765242,82.85252868150337,0.9786465577434447
xgboost,trusted_registry_lifecycle_stack,log_sqerror_balanced,log,40,932,25.220444980274124,84.47950723294161,0.9777996867026213
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_023,raw,63,1496,25.22476920652418,54.886516566909535,0.9906289620465304
xgboost,trusted_recommended_features,random_search_018,log,67,1221,25.236963235198413,95.098697021489,0.9718676836407923
xgboost,trusted_recommended_features_without_date_offsets,random_search_018,log,66,1480,25.237109552462087,95.1827405971108,0.9718179377394153
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_022,log,39,456,25.325669183286323,89.93665518072469,0.9748388884608739
xgboost,trusted_extended_traficom_stack,random_search_023,raw,62,1062,25.38242423654379,54.66162754703184,0.9907055974830646
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_013,log,65,2091,25.464312114279643,118.08222951996542,0.9566264021509439
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_021,log,39,702,25.46532119912177,87.5330371217061,0.9761658123535594
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,log_sqerror_balanced,log,65,762,25.53931823899035,82.80354909779825,0.9786717971316439
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_010,raw,39,494,25.562819190107202,84.26379423025054,0.9779129161076932
xgboost,trusted_recommended_features_without_date_offsets,random_search_002,raw,66,1688,25.575572972498115,71.56632003746071,0.9840678740175508
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_008,raw,39,1197,25.61666048364995,76.57162453009492,0.9817613755181017
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_014,raw,65,2274,25.64168305337747,75.24402366516867,0.9823883363706515
xgboost,trusted_registry_lifecycle_stack_without_oem_number,log_absoluteerror_balanced,log,39,2198,25.682195731729426,114.10052161097444,0.9595021824890156
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_020,raw,65,1696,25.761142637208767,84.13971146264515,0.9779779169462152
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_016,log,63,1817,25.777819899013984,73.1364873428092,0.9833611021630055
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,log_absoluteerror_balanced,log,65,2199,25.778647231285237,110.90182065623823,0.9617409914603751
xgboost,trusted_recommended_features,random_search_024,log,67,1735,25.814018003963458,78.63022845979617,0.9807675135794097
xgboost,trusted_recommended_features,random_search_002,raw,67,1735,25.869199453549246,82.25692960837767,0.9789524597496233
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_017,raw,65,935,26.11087528678212,76.33083460143222,0.9818759028511884
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_008,raw,65,852,26.152074884987215,78.58209186041023,0.9807910542236066
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_020,raw,63,1019,26.28031688394315,92.95677377624125,0.9731206696903112
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_024,log,63,1736,26.430667110476843,73.58069786479166,0.983158368350632
xgboost,trusted_extended_traficom_stack,random_search_024,log,62,1731,26.481668981655652,76.28283340218428,0.9818986906238325
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_013,log,39,1648,26.4879998148896,120.38237121568106,0.9549201827779908
