seed,row_balance_score,price_balance_score,combined_score,max_row_pct_deviation,train_rows,train_row_pct,train_components,train_price_mean,train_price_median,validation_rows,validation_row_pct,validation_components,validation_price_mean,validation_price_median,test_rows,test_row_pct,test_components,test_price_mean,test_price_median
3,0.1466301563466157,0.7205975089477255,0.8672276652943411,0.07331507817330873,7933,70.07331507817331,508,286.78792386234716,118.0,1696,14.981008744810529,172,253.12906839622642,85.2,1692,14.945676177016164,206,213.48930260047283,94.7
89,0.14398021376203474,0.7235069321079293,0.867487145869964,0.07199010688101737,7926,70.01148308453317,494,270.49905374716127,95.2,1705,15.06050702234785,198,331.20041055718474,117.9,1690,14.928009893118983,194,211.21136094674557,95.2
66,0.050348909106968875,0.8254392728607892,0.8757881819677581,0.025174454553486214,7923,69.9849836586874,491,290.6199293197022,118.0,1701,15.025174454553486,216,246.23615520282186,82.9,1697,14.98984188675912,179,202.82262816735417,94.4
47,0.08568147690133365,0.808756859467533,0.8944383363688666,0.04284073845066594,7921,69.96731737479021,496,270.1133821487186,106.2,1697,14.98984188675912,185,184.71897466116675,96.0,1703,15.042840738450666,205,359.7082795067528,94.7
69,0.06801519300415748,0.848636010262696,0.9166512032668535,0.03400759650207519,7922,69.9761505167388,501,291.7938651855592,118.3,1697,14.98984188675912,185,223.70253388332353,94.7,1702,15.034007596502075,200,219.97955346651,83.0
2,0.1210140446956931,0.8060227334063959,0.927036778102089,0.060507022347849215,7920,69.95848423284163,490,259.0758207070707,106.6,1696,14.981008744810529,208,371.9307783018868,95.2,1705,15.06050702234785,188,224.6007624633431,90.0
28,0.16429644024379186,0.7700789823832938,0.9343754226270856,0.08214822012189416,7934,70.0821482201219,465,262.4685908747164,106.8,1698,14.998675028707712,193,261.8568315665489,118.0,1689,14.91917675117039,228,318.86364712847836,71.0
16,0.13868032859287993,0.8167493904743124,0.9554297190671923,0.06934016429644174,7923,69.9849836586874,513,278.4701754385965,106.4,1706,15.069340164296442,181,299.0075615474795,112.3,1692,14.945676177016164,192,206.37901891252955,73.19999999999999
37,0.1439802137620294,0.8294656128003914,0.9734458265624208,0.07199010688101737,7927,70.02031622648175,492,278.3984735713385,121.0,1704,15.051673880399258,206,233.16068075117371,72.5,1690,14.928009893118983,188,273.04668639053256,83.3
13,0.1210140446956931,0.8666046350126385,0.9876186797083316,0.060507022347849215,7920,69.95848423284163,512,298.4774621212121,107.1,1705,15.06050702234785,188,225.98627565982403,94.7,1696,14.981008744810529,186,186.53968160377357,84.05
67,0.19167918028442799,0.7970950065167266,0.9887741868011546,0.09583959014221222,7919,69.94965109089303,539,281.88609672938503,117.9,1709,15.095839590142212,187,210.71632533645408,82.8,1693,14.954509318964757,160,279.53290017720025,85.2
34,0.3939581309071567,0.61001980724263,1.0039779381497866,0.19697906545357569,7947,70.19697906545358,479,286.861570403926,106.2,1694,14.963342460913347,214,188.10785123966943,89.95,1680,14.839678473633072,193,278.1403571428571,94.9
8,0.2702941436268791,0.7469609871483505,1.0172551307752296,0.1351470718134351,7940,70.13514707181344,511,285.6118010075567,100.6,1691,14.936843035067573,186,173.5697220579539,94.7,1690,14.928009893118983,189,298.43508875739644,117.95
43,0.23496157583252675,0.7938349343058257,1.0287965101383525,0.11748078791626426,7938,70.11748078791626,499,274.91286218190976,112.5,1692,14.945676177016164,190,188.02003546099291,94.7,1691,14.936843035067573,197,334.25854523950323,94.4
