seed,split,mean,median,std,min,max,p25,p75
23,train,272.5744578920827,100.8,611.1110630493527,5.9,4641.0,50.4,236.5
23,validation,260.57554379776604,94.4,542.9335225381283,5.9,3927.0,59.1,184.4
23,test,272.7013033175355,112.6,630.6829895062956,14.2,4391.1,59.1,236.5
24,train,308.1051136363636,141.5,650.5341268632855,5.9,4391.1,59.1,238.0
24,validation,168.93944575471698,94.4,290.47201812957945,5.9,3986.5,47.6,177.8
24,test,198.7716129032258,60.1,594.616212361855,5.9,4641.0,47.2,147.5
25,train,303.5207135653051,124.2,649.0821814150992,5.9,4343.5,59.0,237.2
25,validation,243.70111962286387,90.0,611.5282843721858,5.9,4641.0,47.6,183.5
25,test,144.52263593380613,71.1,268.46870803281934,5.9,3986.5,47.4,176.9
26,train,309.03623407743726,118.0,674.530190991872,5.9,4641.0,54.9,237.2
26,validation,193.25310100413466,94.7,444.0790497965596,5.9,4641.0,47.4,177.8
26,test,169.5665685697469,94.4,301.3626613434372,5.9,3986.5,56.5,177.9
27,train,283.9503028009084,106.1,632.1532908010289,5.9,4641.0,54.9,236.8
27,validation,221.4767042086544,90.0,561.1967484080516,11.8,4391.1,53.55,178.5
27,test,258.4298009367681,118.4,502.2146416967378,5.9,3064.3,50.4,231.47500000000002
28,train,262.4685908747164,106.8,552.6616097475917,5.9,4343.5,56.5,236.0
28,validation,261.8568315665489,118.0,539.1390880318502,5.9,4641.0,60.4,237.1
28,test,318.86364712847836,71.0,847.8317941675591,5.9,4641.0,47.2,190.6
29,train,310.7481383314401,129.8,665.2720022578285,5.9,4641.0,59.1,237.14999999999998
29,validation,170.11035903472632,83.0,377.9220491272477,5.9,4391.1,47.4,203.15
29,test,185.13502060035316,70.8,449.58467009756225,5.9,4641.0,47.2,177.6
30,train,280.7240388251607,101.1,630.2476087191795,5.9,4641.0,53.3,236.5
30,validation,274.9215976331361,95.2,617.906469093882,5.9,4117.4,59.0,236.5
30,test,220.26978798586572,95.2,443.3305958788146,5.9,4641.0,55.775000000000006,177.9
31,train,316.2434952681388,118.4,691.2863558811987,5.9,4641.0,59.0,237.2
31,validation,175.61142520612486,95.75,287.10547418128806,5.9,3986.5,47.6,230.075
31,test,153.8289163722026,85.15,299.94594560182605,5.9,4391.1,47.6,177.4
32,train,266.28010088272384,100.69999999999999,595.930426405967,5.9,4641.0,53.4,236.0
32,validation,294.04141592920354,107.1,633.9521242303524,5.9,4343.5,56.1,236.0
32,test,268.6426886792453,94.7,612.789661512209,5.9,4641.0,55.35,230.225
33,train,295.15644063524076,106.6,645.0041496769242,5.9,4641.0,53.3,236.8
33,validation,272.2519174041298,100.8,619.6013108717917,5.9,4391.1,53.3,213.85
33,test,155.07163120567375,94.4,303.8887784597222,5.9,4641.0,59.0,189.95000000000002
34,train,286.861570403926,106.2,628.4043138351019,5.9,4641.0,53.3,237.1
34,validation,188.10785123966943,89.95,339.7980549511713,5.9,4391.1,59.0,211.3
34,test,278.1403571428571,94.9,684.7367738570618,5.9,4117.4,58.375,178.5
35,train,279.4141902961563,106.7,613.4212983149407,5.9,4641.0,53.1,236.8
35,validation,155.49852333136445,94.7,266.9754210429878,5.9,3986.5,59.2,177.0
35,test,345.6637920850561,100.2,767.0841401024551,5.9,4641.0,53.1,236.8
36,train,268.74347003154577,107.1,561.5900010550665,5.9,4343.5,56.3,236.5
36,validation,295.8967608951708,82.9,794.6323749590425,5.9,4641.0,50.4,183.875
36,test,255.23833922261485,94.9,575.5125112996362,5.9,4289.9,53.1,213.325
37,train,278.3984735713385,121.0,592.7548603089033,5.9,4641.0,59.0,236.8
37,validation,233.16068075117371,72.5,579.9996379236376,5.9,4641.0,47.4,177.9
37,test,273.04668639053256,83.3,676.7748254139317,5.9,4391.1,47.4,178.5
38,train,269.07899255144554,118.4,578.7966256394051,5.9,4641.0,59.0,236.8
38,validation,292.9467448680352,90.0,686.2586229412984,5.9,4391.1,47.6,182.9
38,test,256.5017699115044,88.9,632.3095664502414,5.9,4641.0,47.4,189.8
39,train,304.90752050473185,118.0,675.9373108912498,5.9,4641.0,59.0,236.8
39,validation,228.00805408583187,94.7,429.0992953368986,5.9,4165.0,47.6,225.0
39,test,154.2097935103245,83.3,312.51177143111795,5.9,4641.0,47.4,176.9
40,train,298.9545018310393,123.8,651.807094682608,5.9,4641.0,53.3,238.0
40,validation,255.3308962264151,94.7,590.6101330914892,5.9,4391.1,59.2,218.3
40,test,155.42643610785464,82.8,296.2260202282255,5.9,3986.5,47.4,176.9
41,train,246.26477717459917,100.8,510.72139678146266,5.9,4289.9,55.2,236.0
41,validation,254.9481459682166,100.8,530.0266527187678,5.9,4391.1,59.0,236.0
41,test,400.82257495590824,95.2,957.1543537004464,5.9,4641.0,50.6,233.6
42,train,270.8246938517864,106.2,588.1323706383305,5.9,4641.0,53.4,236.8
42,validation,230.11492625368732,95.2,566.590857045109,11.8,4165.0,59.1,213.4
42,test,311.06873900293255,94.6,704.3314198868189,5.9,4117.4,47.4,218.3
43,train,274.91286218190976,112.5,590.2318704258686,5.9,4641.0,59.0,236.5
43,validation,188.02003546099291,94.7,436.91705360086456,5.9,4391.1,47.4,224.1
43,test,334.25854523950323,94.4,779.8693369257034,5.9,4641.0,47.6,189.8
44,train,312.65027163613394,118.6,675.5157264959525,5.9,4641.0,59.0,237.2
44,validation,171.09935026580035,82.9,429.5807323385259,5.9,4391.1,47.4,177.0
44,test,175.90268534734383,83.3,310.02565750360384,9.5,3927.0,47.4,212.4
45,train,279.9555176767677,100.6,624.3942258835302,5.9,4641.0,53.3,236.5
45,validation,257.55014749262534,106.4,553.925807688658,5.9,4165.0,59.1,219.0
45,test,241.39753810082064,94.9,554.7232774450607,17.7,4641.0,53.2,213.4
46,train,286.3792885973764,107.1,629.8035952948309,5.9,4641.0,59.0,236.8
46,validation,245.27861339600472,100.8,535.3725004623782,11.8,4641.0,56.125,212.4
46,test,223.38273211117684,77.3,541.5247841344114,5.9,4289.9,47.3,200.55
47,train,270.1133821487186,106.2,578.9427617860246,5.9,4391.1,53.4,236.8
47,validation,184.71897466116675,96.0,245.02199897505372,5.9,2960.0,59.0,219.4
47,test,359.7082795067528,94.7,891.2003280387593,5.9,4641.0,54.85,183.4
48,train,299.2535042303321,118.5,645.1520578354041,5.9,4641.0,59.0,238.0
48,validation,214.1327868852459,83.3,518.3725647089758,5.9,4289.9,47.3,177.4
48,test,194.8595631641086,94.4,460.0040373869902,5.9,4641.0,47.6,212.3
49,train,312.1582407874811,119.0,662.445673267271,5.9,4641.0,59.0,238.0
49,validation,178.14060106069533,82.6,520.6660754666619,9.5,4641.0,47.4,165.2
49,test,170.45464705882355,85.4,299.4384113199264,5.9,3927.0,47.4,224.39999999999998
50,train,312.48656659939456,124.9,677.1257638116988,5.9,4641.0,59.0,238.0
50,validation,192.58955135773317,94.7,395.56051600512905,5.9,4641.0,53.4,201.3
50,test,154.19611536197763,70.8,332.3664785838011,5.9,4391.1,47.4,142.3
51,train,286.1021101844832,118.5,619.494943352627,5.9,4641.0,54.9,236.8
51,validation,307.4956727919384,88.7,744.4419750060421,11.8,4641.0,53.5,214.2
51,test,164.33843023255812,78.1,284.81435674264355,5.9,3927.0,53.175000000000004,178.5
52,train,309.7778449144008,118.6,666.0218686578486,5.9,4641.0,58.1,237.2
52,validation,214.5479031305375,82.6,552.8239332172036,5.9,4117.4,59.0,177.6
52,test,143.41722090261283,94.4,170.61303977368289,5.9,1785.0,47.4,178.5
53,train,261.44710346572225,118.0,542.491751749124,5.9,4641.0,59.0,236.5
53,validation,195.3087990487515,106.2,378.92649821154185,9.5,4165.0,59.2,235.9
53,test,386.6758222735141,76.9,940.7701977687161,5.9,4391.1,47.2,177.9
54,train,271.6993943217666,106.2,579.4288866540778,5.9,4641.0,53.2,236.8
54,validation,228.69329411764704,89.2,566.9809840258674,17.7,4165.0,59.0,178.5
54,test,308.7400353773585,117.9,737.6179995642586,5.9,4289.9,59.0,236.5
55,train,273.2936948297604,118.3,589.2766392805748,5.9,4641.0,59.0,236.5
55,validation,257.394683992912,100.6,565.5159366710491,11.8,4641.0,59.1,236.8
55,test,272.45653710247353,82.6,703.3226721347305,5.9,4391.1,47.4,183.8
56,train,290.8452308856926,107.1,629.4365456611532,5.9,4641.0,56.3,237.1
