part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory
Moottori Bensiini,2900.0,B2,2019-2027,1900024320,M20AFXS,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2850.0,A2,2019-2027,190000T820,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2800.0,A2,2019-2027,190000T820,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2375.0,C3,2019-2027,190000T840,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2600.0,A3,2019-2027,190000T820,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2500.0,B2,2013-2018,,1ZRFAE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2700.0,A2,2019-2027,190000T820,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2700.0,A2,2019-2027,,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2500.0,B2,2013-2018,190000T072,1ZRFAE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2500.0,A3,2019-2027,190000T820,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2400.0,A2,2019-2027,190000T580,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Hybridi muunnin,320.0,A2,2019-2027,G920049135,2ZRFXE,,Toyota,Corolla,Moottori,Hybridi muunnin
Hybridi muunnin,300.0,A2,2019-2027,G920049135,2ZRFXE,,Toyota,Corolla,Moottori,Hybridi muunnin
Hihnapyörä,50.0,A2,1998-2001,,,,Toyota,Corolla,Moottori,Hihnapyörä
Hihnapyörä,40.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Hihnapyörä
Hihnapyörä AE82,10.0,A2,1983-1987,,,,Toyota,Corolla,Moottori,Hihnapyörä
Hihnapyörä,50.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Hihnapyörä
Hihnapyörä,50.0,A2,2008-2012,,1NDTV,,Toyota,Corolla,Moottori,Hihnapyörä
Hihnapyörä,40.0,A2,2002-2007,,1NDTV,,Toyota,Corolla,Moottori,Hihnapyörä
Hihnapyörä,50.0,A2,2002-2007,,3ZZFE,,Toyota,Corolla,Moottori,Hihnapyörä
Hihnapyörä,50.0,A2,1993-1997,,,,Toyota,Corolla,Moottori,Hihnapyörä
Käynnistinmoottori Bensiini,80.0,A2,2008-2012,2810037030,1ZRFE,,Toyota,Corolla,Moottori,Käynnistinmoottori Bensiini
