example_source,product_id,part_name,brand,model,quality_grade,mileage,year_mid,price,predicted_price,base_value,net_shap_effect,reconstruction_error
cheap_item,54115323,"Airbag Front sensor - , e-(Right)",vw,golf,A2,,2006.5,5.9,5.900000000000045,370.8448003472224,-364.9448025256851,2.1784627044496574e-06
cheap_item,54115323,"Airbag Front sensor - , e-(Right)",vw,golf,A2,,2006.5,5.9,5.900000000000045,370.8448003472224,-364.9448039126462,3.5654238210724998e-06
cheap_item,54115323,"Airbag Front sensor - , e-(Right)",vw,golf,A2,,2006.5,5.9,5.900000000000045,370.8448003472224,-364.94480371422526,3.3670028862786694e-06
cheap_item,53950695,Brake disc -(Front),toyota,corolla,C2,101000.0,1985.0,5.9,5.980000000000043,370.8448003472224,-364.8648039816109,3.634388544782041e-06
cheap_item,53950695,Brake disc -(Front),toyota,corolla,C2,101000.0,1985.0,5.9,5.917750000000044,370.8448003472224,-364.92705399646866,3.6492462847093066e-06
cheap_item,53950695,Brake disc -(Front),toyota,corolla,C2,101000.0,1985.0,5.9,5.900000000000045,370.8448003472224,-364.94480429983247,3.952610097002207e-06
cheap_item,53950695,Brake disc -(Front),toyota,corolla,C2,101000.0,1985.0,5.9,5.918000000000044,370.8448003472224,-364.9268034455439,3.0983215228985728e-06
cheap_item,53950695,Brake disc -(Front),toyota,corolla,C2,101000.0,1985.0,5.9,5.950500000000044,370.8448003472224,-364.8943049777643,4.630541933892118e-06
cheap_item,53950695,Brake disc -(Front),toyota,corolla,C2,101000.0,1985.0,5.9,5.988750000000043,370.8448003472224,-364.8560545611335,4.213911101835777e-06
expensive_item,53935379,Engine Gasoline -,skoda,octavia,B2,28000.0,2023.5,4617.6,4612.7992500000155,370.8448003472224,4241.9544869154315,3.726263821590692e-05
expensive_item,53935379,Engine Gasoline-,skoda,octavia,B2,28000.0,2023.5,4601.2,4511.525749999987,370.8448003472224,4140.681047178853,9.752608821145259e-05
expensive_item,53935379,Engine Gasoline -,skoda,octavia,B2,28000.0,2023.5,4599.7,4607.845499999982,370.8448003472224,4237.0008992746,0.00019962183978350367
expensive_item,53935379,Engine Gasoline -,skoda,octavia,B2,28000.0,2023.5,4641.0,4626.897499999991,370.8448003472224,4256.052825631794,0.00012597902514244197
expensive_item,53935379,Engine Gasoline -,skoda,octavia,B2,28000.0,2023.5,4626.2,4625.703999999982,370.8448003472224,4254.859375931685,0.00017627892430027714
expensive_item,53935379,Engine Gasoline -,skoda,octavia,B2,28000.0,2023.5,4612.1,4615.329500000012,370.8448003472224,4244.484739979225,4.032643573737005e-05
expensive_item,65552499,Automatic gear -,skoda,octavia,A2,61000.0,2023.5,4380.8,4397.318750000027,370.8448003472224,4026.47395386326,4.210455699649174e-06
expensive_item,65552499,Automatic gear -,skoda,octavia,A2,61000.0,2023.5,4365.3,4384.624000000025,370.8448003472224,4013.7792865793317,8.692652863828698e-05
expensive_item,65552499,Automatic gear -,skoda,octavia,A2,61000.0,2023.5,4363.8,4380.345500000022,370.8448003472224,4009.500833349457,0.00013369665703066858
expensive_item,65552499,Automatic gear -,skoda,octavia,A2,61000.0,2023.5,4403.0,4409.736500000005,370.8448003472224,4038.8917207839654,2.113118262059288e-05
expensive_item,65552499,Automatic gear -,skoda,octavia,A2,61000.0,2023.5,4388.9,4408.628499999984,370.8448003472224,4037.7838002733315,0.00010062056935566943
expensive_item,65552499,Automatic gear -,skoda,octavia,A2,61000.0,2023.5,4375.6,4397.490750000012,370.8448003472224,4026.646090978238,0.0001413254485669313
expensive_item,65116265,"Engine Gasoline - , e-",vw,golf,A2,214000.0,2016.5,4321.6,4302.893000000027,370.8448003472224,3932.0482275955897,2.7942784981860314e-05
expensive_item,65116265,"Engine Gasoline - , e-",vw,golf,A2,214000.0,2016.5,4306.3,4296.312000000027,370.8448003472224,3925.4672712943334,7.164152884797659e-05
expensive_item,65116265,"Engine Gasoline - , e-",vw,golf,A2,214000.0,2016.5,4304.8,4298.656500000025,370.8448003472224,3927.8117844771955,8.482439352519577e-05
expensive_item,65116265,"Engine Gasoline - , e-",vw,golf,A2,214000.0,2016.5,4343.5,4324.58400000001,370.8448003472224,3953.7394153855853,0.00021573279809672385
expensive_item,65116265,"Engine Gasoline - , e-",vw,golf,A2,214000.0,2016.5,4329.6,4318.732000000016,370.8448003472224,3947.8874531183637,0.00025346556958538713
expensive_item,65116265,"Engine Gasoline - , e-",vw,golf,A2,214000.0,2016.5,4316.5,4304.265000000009,370.8448003472224,3933.4204065574845,0.00020690469773398945
