part_name,brand,model,oem_number,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
curtain airbags -(right),skoda,octavia,fi09515254a,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
power steering control unit -,toyota,corolla,fi09992720a,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
side airbags -(right),skoda,octavia,fi24637030a,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
wheel bearing spindle shaft -(left rear),toyota,corolla,fi24637030a,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
brake caliper -(left rear),toyota,corolla,fi05028803a,24,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
contact roll airbag -,skoda,octavia,fi27837687a,12,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
knee -,toyota,corolla,fi27837687a,7,189.4571,189.4,0.5447,0.2967,0.0029,188.7,190.4,1.7
"control unit xenon - , e-",vw,golf,fi09389104a,12,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"komfort styrdon - , e-",vw,golf,fi09515254a,12,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"throttle housing - , e-",vw,golf,fi10331575a,12,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"brake caliper - , e-(left front rear)",vw,golf,fi05351686a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"contact roll airbag - , e-",vw,golf,fi05351686a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"control unit xenon - , e-",vw,golf,fi02042722a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"curtain airbags - , e-(right)",vw,golf,fi26167503a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"diesel tank - , e-",vw,golf,fi06376738a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"diesel tank - , e-",vw,golf,fi10331575a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"diesel tank - , e-",vw,golf,fi26167503a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"drive shaft - , e-(left rear)",vw,golf,fi27837687a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"drive shaft - , e-(right rear)",vw,golf,fi27837687a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"fuel pump electric - , e-",vw,golf,fi22893129a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"gear lever - , e-",vw,golf,fi05351686a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"gear lever - , e-",vw,golf,fi22893129a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"gear lever - , e-",vw,golf,fi27837687a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"hub rear - , e-(left rear)",vw,golf,fi05351686a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"hub rear - , e-(right rear)",vw,golf,fi05351686a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"komfort styrdon - , e-",vw,golf,fi05028803a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"komfort styrdon - , e-",vw,golf,fi10331575a,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
brake caliper -(right rear),toyota,corolla,fi05028803a,19,177.6158,177.6,0.5314,0.2824,0.003,176.9,178.5,1.6
