product_id,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
54041498,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
54042626,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
54047336,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
54069029,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
54069056,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
54672182,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
62999040,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
63020235,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
63125499,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
63464449,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
64546679,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
64592441,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
65459574,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
53985126,6,473.4667,473.3,1.4693,2.1589,0.0031,471.8,476.0,4.2
54036564,6,473.4667,473.3,1.4693,2.1589,0.0031,471.8,476.0,4.2
54044560,6,473.4667,473.3,1.4693,2.1589,0.0031,471.8,476.0,4.2
54048685,6,473.4667,473.3,1.4693,2.1589,0.0031,471.8,476.0,4.2
54061937,6,473.4667,473.3,1.4693,2.1589,0.0031,471.8,476.0,4.2
57338381,6,473.4667,473.3,1.4693,2.1589,0.0031,471.8,476.0,4.2
59328519,6,473.4667,473.3,1.4693,2.1589,0.0031,471.8,476.0,4.2
63589705,6,473.4667,473.3,1.4693,2.1589,0.0031,471.8,476.0,4.2
66440187,6,473.4667,473.3,1.4693,2.1589,0.0031,471.8,476.0,4.2
53432419,6,449.8,449.65,1.3988,1.9567,0.0031,448.2,452.2,4.0
53458214,6,449.8,449.65,1.3988,1.9567,0.0031,448.2,452.2,4.0
53472320,6,449.8,449.65,1.3988,1.9567,0.0031,448.2,452.2,4.0
53500718,6,449.8,449.65,1.3988,1.9567,0.0031,448.2,452.2,4.0
56744090,6,449.8,449.65,1.3988,1.9567,0.0031,448.2,452.2,4.0
59734341,6,449.8,449.65,1.3988,1.9567,0.0031,448.2,452.2,4.0
54137955,6,438.1333,438.35,1.3646,1.8622,0.0031,436.4,440.3,3.9
63620454,5,402.52,402.6,1.3615,1.8536,0.0034,401.0,404.6,3.6
64797981,4,426.7,426.9,1.3601,1.85,0.0032,424.6,428.4,3.8
65711229,6,436.7667,436.65,1.3585,1.8456,0.0031,435.2,439.1,3.9
54483157,6,437.9667,437.85,1.3585,1.8456,0.0031,436.4,440.3,3.9
60073930,6,426.1167,425.95,1.3334,1.7781,0.0031,424.6,428.4,3.8
54218581,6,426.1,425.95,1.3216,1.7467,0.0031,424.6,428.4,3.8
54398358,6,426.1,425.95,1.3216,1.7467,0.0031,424.6,428.4,3.8
