product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date,scrape_timestamp
58675003,Curtain airbags -(Left),107.7,A2,2013-2020,FI06376738A,,,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
54371810,Curtain airbags -(Left),101.8,A2,2005-2013,FI06376738A,,220000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
56915270,Curtain airbags -(Left),94.7,A2,2005-2013,FI27837687A,,307000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
60467958,Curtain airbags -(Left),100.6,A1,2013-2020,FI06376738A,,230000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
65114234,Curtain airbags -(Left),94.7,A2,2013-2020,FI32037991A,,262000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
61418764,Curtain airbags -(Left),90.0,A2,2013-2020,FI07713839A,,178000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
61971022,Curtain airbags -(Left),94.7,A2,2013-2020,FI06292622A,,374000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
53451718,Curtain airbags -(Right),142.1,A2,2013-2020,FI27837687A,,153000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
54252481,Curtain airbags -(Right),148.0,A1,2013-2020,FI09389104A,,34000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
60973822,Curtain airbags -(Right),142.1,A2,2013-2020,FI27837687A,,148000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
63439416,Curtain airbags -(Right),142.1,A2,2013-2020,FI27837687A,,111000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
53485361,Curtain airbags -(Right),142.1,A2,2013-2020,FI27837687A,,177000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
65484041,Curtain airbags -(Right),130.2,A2,2005-2013,FI27837687A,,231000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
54322041,Curtain airbags -(Right),120.8,A2,2005-2013,FI06376738A,,184000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
54060863,Curtain airbags -(Right),118.4,A2,2005-2013,FI10331575A,,125000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
56982220,Curtain airbags -(Right),112.5,A1,2013-2020,FI06292622A,,46000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
53494147,Curtain airbags -(Right),106.6,A2,2005-2013,FI27837687A,,205000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
58675002,Curtain airbags -(Right),107.7,A2,2013-2020,FI06376738A,,,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
54371809,Curtain airbags -(Right),101.8,A2,2005-2013,FI06376738A,,220000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
60226196,Curtain airbags -(Right),94.7,A2,2005-2013,FI22893129A,,192000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
56915269,Curtain airbags -(Right),94.7,A2,2005-2013,FI27837687A,,307000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
60467957,Curtain airbags -(Right),100.6,A1,2013-2020,FI06376738A,,230000.0,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
